Date,Facility Type,Facility Name,License Number,County,Staff: Confirmed COVID-19 (CUMULATIVE),Residents/Clients: Confirmed COVID-19 (CUMULATIVE),Staff: COVID-Related Deaths (CUMULATIVE),Residents/Clients: COVID-Related Deaths (CUMULATIVE),Annotaion Code,Annotation Code Description
3/12/2021,Substance Use Disorder - Residential,Cherry Hill Detoxification Center ,010001DN,Alameda,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,EBCRP Residential Program ,010003BN,Alameda,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,C.U.R.A. Inc.,010010AN,Alameda,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"New Bridge Foundation, Inc.",010013AN,Alameda,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Skyway House,040006NN,Butte,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Lakes Treatment Center,050005AP,Calaveras,,15,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Diablo Valley Ranch,070001AN,Contra Costa,13,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Pueblos Del Sol,070001CN,Contra Costa,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,East County Women's Recovery Center/East County Wollam,070001ZN,Contra Costa,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Discovery House,070012BN,Contra Costa,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,New Start Recovery Solutions,070048AP,Contra Costa,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Progress House Men's Facility,090002AN ,El Dorado,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,WestCare California,100010FN,Fresno,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Turning Point Quest House,100028EN,Fresno,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Fresno First,100042CN,Fresno,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Herndon Recovery Center ,100074CP,Fresno,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Humboldt Recovery Center, Incorporated",120001AN,Humboldt,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Jason’s Retreat/Capistrano Community for Women,150004AN,Kern,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Capistrano Lincoln Street Retreat,150004GN,Kern,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Ken Kennemer Substance Abuse Treatment Center,150013BN,Kern,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Samuel's House,160005CN,Kings,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,H.O.M.E. - Tule House,170014AN,Lake,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Antelope Valley,190001AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Alcolholism Center for Women,190002AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Alcoholism Center for Women,190002BN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,San Fernando Recovery Center,190003AP,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Beacon House,190006AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Behavioral Health Services,190007CN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Behavioral Health Services, Inc. ",190007LN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Behavioral Health Services, Inc. ",190007MN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Long Beach Family Recovery Center,190007VN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Positive Steps,190011AFN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,La Casita de las Mamas of Downey,190011ON,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Angel Step Too,190011VN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Men's Treatment Program,190016BN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Women's Treatment Program,190016FN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Women and Children First: Pregnant and Post-Partum Women,190016MN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Salvation Army,190023AN,Los Angeles,,12,,,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Salvation Army Bell Shelter,190023CN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,House of Hope,190025AN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"House of Hope Foundation, Inc. ",190025GN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,VOA of Central City Recovery Services,190027BN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Little House,190029AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Sanctuary Treatment Center,190042AP,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,NCADD,190049AN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Iris Healing Center, LLC",190056AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"California Hispanic Commission on Alcohol and Drug Abuse, Inc. - Latinos Recovery Home",190065CN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Latino Family Center,190065IN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Safe Refuge,190077AHN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Safe Refuge,190077CN,Los Angeles,,15,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Stepping Stones,190081IN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Royal Palms Recovery Home,190081JN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Rena B Recovery Home ,190081KN ,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Bimini Recovery Center,190081LN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Tarzana Treatment Centers, Inc. ",190085AN,Los Angeles,,36,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Tarzana Treatment Centers, Inc. ",190085BN ,Los Angeles,0,18,0,0,,
3/12/2021,Substance Use Disorder - Residential,"Tarzana Treatment Centers, Inc. ",190085LN,Los Angeles,,14,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Chabad Residential Treatment Center,190087CN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,CHABAD Recovery Outpatient Center,190087DN ,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Goldwing Recovery,190090AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Impact Drug and Alcohol Treatment Center,190094AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Principles, INC., D.B.A. Impact",190094HN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"CRI-HELP, Inc. ",190095AN,Los Angeles,,12,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Socorro,190095MN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Canon Human Services Centers, Inc. - Brown Scapular Program",190099EN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Allen House,190100IN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Asian American ,190112AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Asian-American Drug Abuse Program,190112DN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Pheonix House - Venice,190115AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Fred Brown's Recovery Services,190135CN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Fred Brown's Recovery Services,190135EN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Support for Harbor Area Women's Lives, ",190147AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Westside Residence Hall,190188AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"CROSSROADS, INC",190205AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"EL PROYECTO DEL BARRIO, INC",190236CN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Shields For Families ,190238CN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Shields For Families ,190238FN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,American Indian Changing Spirits ,190239AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,National Council on Alcoholism and Drug Dependence of East Gabriel and Pomona,190241CN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Amity Foundation-Amistad De Los Angeles,190259AN,Los Angeles,12,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,The High Road Program,190262AN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Mariposa House,190279DP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Passages,190283AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"I-ADARP, (INTER-AGENCY DRUG ABUSE RECOVERY PROGRAM)",190321AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Beit T'Shuvah,190326AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,HOUSE OF UHURU,190377AN,Los Angeles,11,17,0,0,,
3/12/2021,Substance Use Disorder - Outpatient,Child and Family Center,190459AN ,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Valley Women's Center,190502AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Coastal Recovery Center,190511BP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Weingart Center Associations/EPIC,190541AN,Los Angeles,,12,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Seasons In Malibu,190695AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Mela Counseling,190713AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Healthright 360,190728AN,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Healthright 360,190728BN,Los Angeles,15,55,0,0,,
3/12/2021,Substance Use Disorder - Outpatient,Prototypes Outpatient Behavioral Health Services Center,190728DN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Prototypes Outpatient Behavioral Services Center, Pomona",190728EN,Los Angeles,,12,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Prototypes Women's Center ,190728GN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Discovery House,190764AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Villa Treatment Center,190807AP,Woodland Hills,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"The Teen Project, Inc. ",190811AN,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Malibu Hills Treatment Corp.,190834BP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Hillsman Center,190838AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Harmony Place,190879BP,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Harmony Place,190879CP,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Peggy Albrecht Friendly House,190890AN,Los Angeles,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Melrose Recovery LLC,190907AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Iris Healing Retreat,190943AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Healthy Living Residential Program ,190956AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Helping Hands Rehabilitation Clinic, Inc",190959BP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Circle of Hope,190990AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,West Holly Wood ATC,190997AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Journey,191001AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,New Day Rehab Center,191007AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Transformations Care ,191011AP,Los Angeles,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Phase Two ATC,191046AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Mariposa Detox Center,191049AP,Los Angeles,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Bayside Marin,210030AP,Marin,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Bayside Marin ,210030CP,Marin,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Alta Mira Recovery Programs,210040AP,Marin,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Avery Lane ,210049BP,Marin,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Rose Julia Riordan Tranquility Village ,240001EN,Merced,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Sun Street Centers, Men's Residential",270003AN,Monterey,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Sunstreet Centers King City Outpatient,270003GN,Monterey,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Duffy's Myrtledale,280019AP,Napa,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Grass Valley Service Center,290002AN,Nevada,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Hope House/Serenity House,290002BN,Nevada,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Lovett Recovery Center,290002IN,Nevada,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,OC Revive,300010AP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"South Coast Counseling, Inc. ",300012BN,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Hillside Mission LLC,300014AP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Cornerstone Recovery Home #4,300017DP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Cornerstone of Southern California Outpatient Services,300017FP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Opus Health, LLC",300028AP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Opus Health, LLC ",300028CP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,The Mend,300030AP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Phoenix House Orange County, Inc.",300033AN,Orange,,27,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Stone Ridge Recovery,300041AP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Asana Recovery,300043AP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Asana Recovery,300043BP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Resurgence California, LLC",300045EP,Orange,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Covenant Hills Treatment Center,300074BP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Coventant Hills Treatment Centers,300074CP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Covenant Hills Treatment Centers,300074DP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Twin Town Treatment Centers,300128CP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Healthcare Services, Inc.",300188AP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Healthcare Services, Inc.",300188CP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Ocean Valley Behavioral Health,300201AP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Lighthouse Treatment Center,300266AP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Sober Partners Beach House,300305AP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"South Coast Behavioral Health Guesthouse, Inc. ",300313BP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,South Coast Behavioral Health,300313FP,Orange,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Beachside Recovery,300315CP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Beachside Recovery,300315FP,Orange,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Oceanfront Recovery,300318DP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Oceanfront Recovery,300318FP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Affintity Recovery,300330EP,Orange,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Truvida Recovery ,300351CP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,California Prime Recovery,300365AP,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Elite Care, Inc. ",300626EP ,Orange,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Elite Care, Inc. ",300626FP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Advanced Recovery Solutions, LLC",300641DP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"Akua Behavioral Health, Inc. ",300647CP,Orange,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Landmark Recovery Center,300660CP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"Buckeye Recovery Network, LLC",300686AP,Orange,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Auburn Campus - Outpatient Program,310019AN ,Placer,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Auburn Campus Residential Program,310019BN,Placer,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Lincoln Service Center,310019GN,Placer,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,ABC Recovery Centers,330001AN,Riverside,28,35,0,0,,
3/12/2021,Substance Use Disorder - Outpatient,"ABC Recovery Center, Inc. ",330001BN ,Riverside,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,"The Ranch Recovery Centers, Inc. ",330003BN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,MFI Recovery Center,330013AN,Riverside,15,23,0,0,,
3/12/2021,Substance Use Disorder - Residential,A Woman's Place,330013GN,Riverside,11,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,MFI,330013IN,Riverside,20,0,0,0,,
3/12/2021,Substance Use Disorder - Outpatient,MFI Recovery,330013JN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,MFI Recovery Center,330013KN,Riverside,14,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,MFI,330013QN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,MFI Murrieta,330013RN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,MFI Recovery Center,330013SN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Soroptimist House of Hope,330016AN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Private Solution Detox Corp.,330019AP,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Metcalf Recovery Ranch,330020AN,Riverside,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Bella Monte Recovery Center,330029AP,Riverside,,18,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,10 Acre Ranch,330042EN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,"10 Acre Ranch, Inc. ",330042FN,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,California Behavioral Health,330053AP,Riverside,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Hemet Valley Recovery,330101AP,Riverside,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Rancho Milagro Recovery Inc.,330144BP,Riverside,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Palm Desert Recovery,330148AP,Riverside,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Affinity Recovery ,330174AP,Riverside,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Providence Recovery Center,330177AN,Riverside,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Pacific Manor Recovery,330180AP,Riverside,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Altua,340002AN,Sacramento,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,New Dawn Treatment,340039CP,Sacramento,0,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Diamond House Detox,340111AP,Sacramento,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Outpatient,Inland Valley Recovery Services,360001ABN,San Bernardino,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Inland Valley Recovery Services- San Bernardino Recovery Center,360001BN,San Bernardino,,0,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,Women’s and Men’s Residential Services,360001ZN,San Bernardino,12,33,0,0,,
3/12/2021,Substance Use Disorder - Residential,"Social Science Services, Inc.",360002DN,San Bernardino,24,57,0,0,,
3/12/2021,Substance Use Disorder - Residential,Cedar House Life Change Center,360002FN,San Bernardino,,,0,0,1,suppressed due to small number
3/12/2021,Substance Use Disorder - Residential,St. John of God Health Care Services,360003HN,San Bernardino,,12,0,0,1,suppressed due to small number
