Accused Witch, Residence ,Month of Accusation,Month of Execution,Sort
"Abbott, Arthur", Ipswich ,5,,1
"Abbott, Nehemiah, Jr.", Topsfield ,4,,2
"Alden, John", Boston ,5,,3
"Andrew, Daniel", Salem Village ,5,,4
"Barker, Abigail", Andover ,9,,5
"Barker, Mary", Andover ,8,,6
"Barker, William Jr.", Andover ,9,,7
"Barker, William Sr.", Andover ,8,,8
"Bassett, Sarah", Lynn ,5,,9
"Bishop, Bridget", Salem Town ,4,6,10
"Bishop, Edward Jr.", Salem Village ,4,,11
"Bishop, Sarah", Salem Village ,4,,12
"Black, Mary", Salem Village ,4,,13
"Bradbury, Mary", Salisbury ,7,,14
"Bridges, Mary Jr.", Andover ,8,,15
"Bridges, Mary Sr.", Andover ,7,,16
"Bridges, Sarah", Andover ,8,,17
"Bromage, Hannah", Haverhill ,7,,18
"Buckley, Sarah", Salem Village ,5,,19
"Burroughs, George"," Wells, Maine ",4,8,20
Candy, Salem Town ,7,,21
"Carrier, Andrew", Andover ,7,,22
"Carrier, Martha", Andover ,5,8,23
"Carrier, Richard", Andover ,7,,24
"Carrier, Sarah", Andover ,8,,25
"Carrier, Thomas Jr.", Andover ,8,,26
"Carroll, Hannah", Salem Town ,9,,27
"Carter, Bethia Jr.", Woburn ,5,,28
"Carter, Bethia Sr.", Woburn ,5,,29
"Cary, Elizabeth", Charlestown ,5,,30
"Churchill, Sarah", Salem Town ,5,,31
"Clark, Mary", Haverhill ,8,,32
"Clinton, Rachel", Ipswich ,3,,33
"Cloyce, Sarah", Salem Village ,4,,34
"Cole, Sarah", Salem Town ,9,,35
"Cole, Sarah", Lynn ,10,,36
"Colson, Elizabeth", Reading ,5,,37
"Colson, Mary", Reading ,9,,38
"Corey, Giles", Salem Town ,4,9,39
"Corey, Martha", Salem Town ,3,9,40
"Dane, Deliverance", Andover ,9,,41
"Day, Phebe", Gloucester ,-1,,42
"DeRich, Mary", Salem Town ,5,,43
"Dicer, Elizabeth", Gloucester ,9,,44
"Dike, Rebecca", Gloucester ,11,,45
"Dolliver, Ann", Salem Town ,6,,46
"Downing, Mehitabel", Ipswich ,-1,,47
"Draper, Joseph", Andover ,9,,48
"Dustin, Lydia", Reading ,4,,49
"Dustin, Sarah", Reading ,5,,50
"Eames, Daniel", Boxford ,8,,51
"Eames, Rebecca", Boxford ,8,,52
"Easty, Mary", Topsfield ,4,9,53
"Elwell, Esther", Gloucester ,11,,54
"Emerson, Martha", Haverhill ,7,,55
"Emons, Joseph", Manchester ,9,,56
"English, Mary", Salem Town ,4,,57
"English, Phillip", Salem Town ,4,,58
"Farrer, Thomas Sr.", Lynn ,5,,59
"Farrington, Edward", Andover ,-1,,60
"Faulkner, Abigail Jr.", Andover ,9,,61
"Faulkner, Abigail Sr.", Andover ,8,,62
"Faulkner, Dorothy", Andover ,9,,63
"Flood, John", Boston ,5,,64
"Fosdick, Elizabeth", Malden ,5,,65
"Foster, Ann", Andover ,7,,66
"Frost, Nicholas"," Piscataqua, Maine ",9,,67
"Fry, Eunice", Andover ,9,,68
"Good, Dorothy", Salem Village ,3,,69
"Good, Sarah", Salem Village ,2,7,70
"Green, Mary", Haverhill ,7,,71
"Hardy, Thomas"," Piscataqua, Maine ",-1,,72
"Hart, Elizabeth", Lynn ,5,,73
"Hawkes, Margaret", Salem Town ,7,,74
"Hawkes, Sarah", Andover ,9,,75
"Hoar, Dorcas", Beverly ,4,,76
"Hobbs, Abigail", Topsfield ,4,,77
"Hobbs, Deliverance", Topsfield ,4,,78
"Hobbs, William", Topsfield ,4,,79
"How, Elizabeth", Ipswich ,5,7,80
"Howard, John", Rowley ,8,,81
"Hutchins, Frances", Haverhill ,8,,82
"Ireson, Mary", Lynn ,6,,83
"Jackson, John Jr.", Rowley ,8,,84
"Jackson, John Sr.", Rowley ,8,,85
"Jacobs, George Jr.", Salem Village ,5,,86
"Jacobs, George Sr.", Salem Town ,5,8,87
"Jacobs, Margaret", Salem Town ,5,,88
"Jacobs, Rebecca", Salem Village ,5,,89
"Johnson, Abigail", Andover ,8,,90
"Johnson, Elizabeth Jr.", Andover ,8,,91
"Johnson, Elizabeth Sr.", Andover ,8,,92
"Johnson, Rebecca Jr.", Andover ,9,,93
"Johnson, Rebecca Sr.", Andover ,9,,94
"Johnson, Stephen", Andover ,9,,95
"Lacey, Mary Jr.", Andover ,7,,96
"Lacey, Mary Sr.", Andover ,7,,97
"Lilly, Jane", Reading ,9,,98
"Marston, Mary", Andover ,8,,99
"Martin, Susannah", Amesbury ,4,7,100
"Morey, Sarah", Beverly ,4,,101
"Nurse, Rebecca", Salem Village ,3,7,102
"Osborne, Sarah", Salem Village ,2,,103
"Osgood, Mary", Andover ,9,,104
"Paine, Elizabeth", Charlestown ,5,,105
"Parker, Alice", Salem Town ,5,9,106
"Parker, Mary", Andover ,9,9,107
"Parker, Sarah", Andover ,-1,,108
"Pease, Sarah", Salem Town ,5,,109
"Penney, Joan", Gloucester ,9,,110
"Post, Hannah", Boxford ,8,,111
"Post, Mary", Rowley ,8,,112
"Post, Susannah", Andover ,8,,113
"Prince, Margaret", Gloucester ,9,,114
"Proctor, Benjamin", Salem Town ,5,,115
"Proctor, Elizabeth", Salem Town ,4,,116
"Proctor, John", Salem Town ,4,8,117
"Proctor, Sarah", Salem Town ,5,,118
"Proctor, William", Salem Town ,5,,119
"Pudeator, Ann", Salem Town ,5,9,120
"Redd, Wilmott", Marblehead ,5,9,121
"Rice, Sarah", Reading ,5,,122
"Roots, Susannah", Beverly ,5,,123
"Row, Abigail", Gloucester ,11,,124
"Row, Mary", Gloucester ,-1,,125
"Salter, Henry", Andover ,9,,126
"Sawdy, John", Andover ,-1,,127
"Scott, Margaret", Rowley ,8,9,128
"Sears, Ann", Woburn ,5,,129
"Somes, Abigail", Salem Town ,5,,130
"Sparks, Martha", Chelmsford ,-1,,131
"Taylor, Mary", Reading ,9,,132
Tituba Indian, Salem Village ,2,,133
"Tookey, Job", Beverly ,6,,134
"Toothaker, Margaret", Billerica ,5,,135
"Toothaker, Mary", Billerica ,5,,136
"Toothaker, Roger", Billerica ,5,,137
"Tyler, Hannah", Andover ,9,,138
"Tyler, Johanna", Andover ,9,,139
"Tyler, Martha", Andover ,9,,140
"Tyler, Mary", Andover ,9,,141
"Vincent, Rachel", Gloucester ,-1,,142
"Wardwell, Mercy", Andover ,9,,143
"Wardwell, Samuel", Andover ,9,9,144
"Wardwell, Sarah", Andover ,9,,145
"Warren, Mary", Salem Town ,4,,146
"Whittredge, Mary", Salem Village ,5,,147
"Wilds, Sarah", Topsfield ,4,7,148
"Wilford, Ruth", Haverhill ,8,,149
"Willard, John", Salem Village ,5,8,150
"Wilson, Sarah Jr.", Andover ,9,,151
"Wilson, Sarah Sr.", Andover ,9,,152